company_index,description,business_tags,sector,category,niche,selected_labels,primary_label,confidence,source,method,timestamp,api_calls,reasoning,validation_type
1611,"Octafirm Partners is an independent, privately owned Australian company with a long history of investing and risk-taking in the Pilbara and iron ore sector. They are also one of the longest-running owners of cattle agro-farming stations in Australia. Octafirm offers a broad range of investment opportunities in the resources, agribusiness, engineering, oil, and energy sectors, with abundant and diverse mineral and energy resources, sophisticated equipment, technology, and services industry, and proximity to growth markets in Asia. The company's mission is to bring some of Australia's mineral resources, oil & gas, construction & engineering, and agricultural products to market. Octaffirm's majority-owned US$10 billion mega iron ore operation, Roy Hill, is Australia's largest iron ore mine producing 55 million tonnes of ore per annum. The group is committed to investing in local rural communities, developing and implementing innovative farming practices, and driving export quality and growth.","['Engineering Services for Construction Industry', 'Proximity to Growth Markets in Asia', 'Investment Promotion', 'Renewable Energy Projects', 'Integrated Data-led Services', 'Cattle Agro-farming Stations', 'Mineral Resources', 'Marketing Intelligence', 'Real Estate Services', 'Oil And Gas Investments', 'Land, Infrastructure, and Support Services', 'Iron Ore Mining', 'Equipment, Technology, and Services Industry', 'Agricultural Processing', 'Risk-taking Investment', 'Financing Mobilization']",Manufacturing,"Minerals, Earths & Ores",Surface Coal Mining,"['Sand and Gravel Mining', 'Conveyor System Installation', 'Road and Highway Construction', 'Pipeline Construction Services', 'Excavation Services', 'Electric Line Construction']",Sand and Gravel Mining,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:10:11.830289,2,"Octafirm's core business revolves around surface mining operations (iron ore/coal) and supporting infrastructure in the Pilbara region. 'Sand and Gravel Mining' best represents their primary mining activity, as surface coal/iron ore operations share similar risk profiles with aggregate mining. The secondary labels reflect essential infrastructure services directly tied to mining operations: conveyors for material transport, roads for site access, pipelines for resource movement, excavation for s",positive
5451,"LH Fazendas is a company that specializes in the development of dairy farming in the southwestern region of the state of Paraná, Brazil. They offer the sale of selected high-production animals and semen for sale, as well as proper livestock management and feeding techniques.","['Dairy Cattle Management', 'Free Machine Installation', 'Calf Rearing', 'Semen Production for Farm Animals', 'Rotational Grazing', 'Soil Preparing', 'Milk Techniques', 'Recovery of Degraded Pastures']",Manufacturing,Livestock & Animal Raising,Dairy Cattle and Milk Production,"['Dairy Cattle Management', 'Livestock Dealer Services', 'Semen Production for Farm Animals']",Dairy Cattle Management,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:12:45.756141,2,"The company specializes in dairy farming development, with core activities centered around breeding, raising, and managing high-production dairy cattle. The primary revenue comes from selling cattle and semen, while supporting services like calf rearing and pasture management enhance their value proposition but are not the main business focus.",positive
3181,"San Bonani Farm is a company that aims to support the agricultural industry in modernizing and transitioning from loss to profit. They are currently in the process of obtaining funding to establish a dairy farm in Panama. The company's mission is to become the most efficient milk producer in the region by implementing European technologies and North American output farming practices. They plan to purchase a 175-hectare working farm with 150 milking cows in the Bouquete district of Panama, where they will implement modern farming practices to increase daily yields per cow from 17 to 35 liters of milk. San Bonani will also implement sophisticated nutrition analysis and feed monitoring to provide personalized diets for each cow based on her specific nutritional requirements. The welfare of the animals will be of the utmost importance, with land redeveloped and reseeded to increase digestibility and the use of high-protein crops and meal substitutes. The farm will also regenerate the future herd with a high-quality breed imported internationally through embryo transplantation.","['Robotic Feeders', 'Modern Farming Principles', 'Dairy Farm Management', 'Traffic Management', 'Robotic Cleaners', 'Calf Growths Applications', 'Crop Data Scanning', 'Animal Husbandry Services', 'Feed Monitoring', 'Nutritional Analysis Services', 'Embryo Transplantation', 'High-quality Breeding Stock', 'Herd Regeneration Services', 'Call Monitoring']",Manufacturing,Livestock & Animal Raising,Dairy Cattle and Milk Production,"['Dairy Farm Management', 'Animal Husbandry Services', 'Dairy Production Services']",Dairy Farm Management,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:15:33.852688,2,"The company operates within Dairy Cattle and Milk Production (industry niche) and uses modern technologies like Robotic Feeders and Cleaners to manage a dairy farm. Dairy Farm Management is their core activity, directly stated in business tags. Animal Husbandry Services and Dairy Production Services are integral components, covering breeding (Embryo Transplantation, Herd Regeneration) and milk production operations.",positive
7462,"Corte Casetta is a small family-owned farm located in San Michele Extra (Verona) that specializes in the production and direct sale of high-quality beef. The farm raises Limousine and Incroci Francesi cattle, which are fed exclusively with natural plant-based products. The company started as a dairy farm in the 1970s, but shifted to cattle breeding in the 1990s due to economic reasons, including the realization that their animals were always fed with corporate feed. Corte Casatta offers non-intensive and natural beef from their own farm, with direct sales and home delivery to individuals and agritourism facilities. The animals are raised with respect for health protocols and are fed only with natural ingredients.","['Livestock Farming', 'Direct Sales of Cattle Meat', 'Agriculture', 'Direct Home Delivery', 'Cutting & Grinding']",Manufacturing,Livestock & Animal Raising,Cattle Feedlots,"['Livestock Dealer Services', 'Meat Processing Services', 'Food Processing Services']",Livestock Dealer Services,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:16:22.943668,2,Corte Casetta's core business is raising cattle (Livestock Farming) and selling the resulting meat (Direct Sales of Cattle Meat). 'Livestock Dealer Services' directly covers breeding/selling livestock. 'Meat Processing Services' applies due to their cutting/grinding activities. 'Food Processing Services' encompasses meat preparation for sale. Other labels represent peripheral or unrelated activities.,positive
8553,"Trocanimo is a French company that operates an online platform for the sale of breeding animals. The website allows users to search for and purchase a variety of animals, including cattle, sheep, goats, cows, and other types of livestock. Users can search for breeds based on age, meat index, and breed, and can contact the owner to make a purchase. Trocanimo offers a range of animals for sale, including Limousin bulls, heifers, and organic limousine cows.","['Goat Breeding and Sales', 'Animal Breeding and Sales', 'Cattle Breeding Platform', 'Animal Breeding Services']",Manufacturing,Livestock & Animal Raising,Beef Cattle Ranching and Farming,"['Livestock Dealer Services', 'Animal Breeding Services']",Livestock Dealer Services,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:17:35.565476,2,"Trocanimo operates an online platform primarily focused on facilitating sales of breeding animals (cattle, sheep, goats). This aligns with Livestock Dealer Services as they act as intermediaries in livestock transactions. Animal Breeding Services is secondary since the platform supports breeding-focused sales, though they don't directly provide breeding care.",positive
549,"Latigo Livestock Air Transport is a company that specializes in equine and livestock air transportation services between Hawaii and California. They offer transportation for a variety of animals including horses, cattle, goats, sheep, pigs, llamas, alpacas, and exotics. The company aims to provide a low-stress experience for both owners and their animals during the transportation process, which can be complex and time-consuming. The owner and operator, who was born and raised in Hawaii, has extensive experience in the local horse community and understands the challenges of livestock movement between the Hawaiian Islands and the mainland. Latigo Livistica prides itself on its commitment to providing excellent service and communication with its clients.","['First-class Ticket Across The Pacific', 'Ground Transportation Coordination', 'Equine and Livestock Air Transport', 'Livestock Health Requirements Coordination', 'Low-stress Transportation Experience']",Services,Trucking and Logistics,Nonscheduled Chartered Freight Air Transportation,['Livestock Dealer Services'],Livestock Dealer Services,LOW,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:18:18.842145,2,"Latigo's core business is specialized air transportation of livestock, not veterinary care, animal boarding, or manufacturing. While 'Livestock Dealer Services' is an imperfect match (as dealers typically buy/sell, not transport), it is the only pre-filtered label remotely related to livestock handling. The high similarity scores across all labels appear erroneous as they predominantly describe veterinary, pet care, or food/textile manufacturing – none of which align with Latigo's transportation",positive
2428,"LMB Rutgers BV is a livestock specialist company located in Bedum and surrounding areas. They offer a wide range of animal husbandry machines and garden & park machinery, including brands such as John Deere, JCB-Agri, Faresin, Trioliet, Vicon en Joskin. The company started as a blacksmith and has since expanded to focus on professional livestock farms. LMB Rutgers provides agricultural machinery repairs, advice and adaptation of machines, and a spare parts shop with a spacious supply of parts and accessories for agriculture and livestock. They also offer customer-oriented construction services, including the production of steel picnic sets for Bedum municipality and other products from their own workshop.","['Advice and Adaptation of Machines', 'Construction and Mechanical Works', 'Farm Equipment Repair', 'Vicon Products', 'Customer-oriented Work', 'John Deere Products', 'Livestock Supplier', 'Garden and Park Machinery', 'Agricultural Machinery Maintenance', 'Animal Husbandry Machinery', 'Agricultural Machinery Manufacturer', 'Store Services', 'Mobile Air Conditioning and Hydraulic Services', 'Certified VA Inspection Company', 'Tractors Dealership Services', 'Cattle Breeders and Suppliers', 'JB AGRO Products', 'Periodic Inspections']",Manufacturing,Farm Equipment,Farm Machinery and Equipment Manufacturing,"['Agricultural Machinery Manufacturer', 'Farm Equipment Repair', 'Agricultural Machinery Maintenance', 'Tractors Dealership Services', 'Animal Husbandry Machinery', 'Livestock Dealer Services']",Agricultural Machinery Manufacturer,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:19:50.356470,2,"LMB Rutgers BV's core business centers on manufacturing, distributing, and servicing agricultural machinery, particularly for livestock. Their industry niche (Farm Machinery and Equipment Manufacturing) and business tags confirm manufacturing is foundational. Dealership services (John Deere, Vicon) and repair/maintenance are key revenue streams, while livestock machinery/dealer services reflect their specialization. Consulting/construction labels are peripheral to their primary equipment focus.",positive
2669,"Hidrosol Saladas Finas is a company based in Sumidouro, Rio de Janeiro, Brazil, specializing in farming and cattle raising.","['Livestock Farming', 'Natura Products', 'Agriculture', 'Food Manufacturing', 'Healthy Lettuce', 'Ready-to-eat Salads', 'Natural and Crisp Lettuces', 'Hygiene during Food Making', 'Hydroponic Systems Manufacturer', 'Environmentally Friendly Practices', 'Cattle Breeding and Raising Services']",Manufacturing,Farms & Agriculture Production,Other Food Crops Grown Under Cover,"['Food Processing Services', 'Food Safety Services', 'Quality Assurance Services', 'Environmental Health Services']",Food Processing Services,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:20:30.971569,2,"The company's core business is converting hydroponically grown lettuce into value-added products like ready-to-eat salads, which directly aligns with food processing. Food safety and quality assurance are critical supporting activities for packaged food manufacturing. Environmental health connects to their eco-friendly hydroponic systems.",positive
643,"Oviaragón is a cooperative group that has been improving the profitability and quality of life for sheep farmers since 1981. It is the parent cooperative of Pastores Grupo Cooperativo, a group of 800 sheep farmers with almost 400,000 sheep that have united for over 40 years to promote sustainable livestock farming practices. Oviaragon works for and by the sheep farmer, offering them a comprehensive range of products and services, including feedstuffs, materials, sanitary producers, insurance, and shearing. The company's Veterinary Team analyzes the situation of the farm and advises farmers to obtain maximum yield, while also promoting correct decision-making on the farm to optimize results for partners and make them grow professionally. OVIaragón's central purchasing and sales team help farmers to develop their farms. The cooperative also offers a collaborative app that guides the management of beef sheep.","['Livestock Farming', 'Online Shopping', 'Sanitary Equipment Producers', 'Reproductive Health Treatment', 'Same Day Delivery', 'Wool Buying and Selling Services', 'Butcher Shop', 'Sheep Breeding and Raising Services', 'Healthcare Products', 'Genetic Selection and Improvement', 'Insurance Services', 'Meat Products Retailer', 'Veterinary Care']",Manufacturing,Livestock & Animal Raising,Sheep Farming,"['Sheep Breeding and Raising Services', 'Genetic Selection and Improvement', 'Veterinary Services', 'Meat Products Retailer', 'Wool Buying and Selling Services']",Sheep Breeding and Raising Services,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:21:17.433127,2,"Oviaragón is fundamentally a cooperative supporting sheep farmers through the full livestock lifecycle. Their core value proposition centers on breeding and raising sheep, as evidenced by their niche in Sheep Farming. Secondary activities like genetic improvement, veterinary care, and meat/wool sales directly support this primary livestock operation but aren't standalone revenue drivers.",positive
760,"Lindsay Lake Farms is a family-owned business located in Nova Scotia that specializes in farming, food manufacturing, and service. The farm is owned and operated by the Teerling Family and is situated in the beautiful Musquodoboit Valley. Their vision is to provide exceptional food, nature experiences, and sustainable farming and forestry practices to their customers and guests. They offer a comprehensive blend of diverse subdivisions such as livestock, blueberry crops, and forestry, and believe in the profound connection between the land and the food it yields. Lindsay Lake Farms takes pride in ensuring that all of their products are of the highest quality and offers a luxury farmstay for those seeking an authentic taste of farm life or want to escape the hustle and bustle of everyday life. Recently, the farm has welcomed a majestic bison herd, marking a milestone for the company.","['Food Manufacturing', 'Land Clearing Services', 'Deer Farming', 'Meat Sausages', 'Catering Services', 'German Meals', 'Highly Specialized Equipment', 'Luxury Farm Stays', 'Livestock Farming', 'Nature Experiences', 'Farm-to-table Products', 'Luxury Farm', 'Camping Experiences', 'Organic Blueberry Farming', 'Hotel Accommodations', 'Miscellaneous Crop Farming', 'Lodge Accommodations', '5* Moose River Cottage', 'Sustainable Farming Practices', 'Bakery', 'Ssustainable Forestry Practices', 'Farm Shops', 'Business Services']",Manufacturing,Livestock & Animal Raising,Dual-Purpose Cattle Ranching and Farming,"['Livestock Dealer Services', 'Meat Processing Services', 'Food Processing Services', 'Catering Services', 'Bakery Production Services', 'Lodge Accommodations', 'Miscellaneous Crop Farming']",Livestock Dealer Services,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:22:16.416980,2,"The core business revolves around livestock farming (deer, dual-purpose cattle) as per the industry context and tags. This drives the food manufacturing value chain (meat sausages, bakery) and farm-to-table experiences. Secondary revenue comes from processing farm outputs (meat, blueberries), direct services (catering, luxury stays), and sustainable land use.",positive
8793,"The Future Education and Counseling Distance Lifelong Learning Institute is a leading distance learning system that offers a variety of courses in education and training. Their courses include Dementia Prevention School, Riding Instructors, English Language and Literature Teachers for 10th Grade, After School Teacher, and Learning Coaching. They also offer a riding course and the National Drone Certification Program. The institute aims to provide a platform for self-directed learning and self-learning through various learning guides such as The Reading Guide, The Educational Theatre, The Essay Guide, School Violence Prevention, and The Fairy Tale of the English Reading Guide. Additionally, they offer learning coaching and counseling services in areas such as Child Psychology, Music Psychology, Conflict Resolution, Personality Psychology, and NLP Coaching and Counselling.","['History of Multicultural Education', 'Essay Guide', 'Child Korean Teacher', 'Forest Specialists', 'Dementia Prevention School', 'Educational Theater', 'Fairy Tale of The English', 'Distance Learning System', 'School Violence Prevention', 'Penguin Guide', 'Addiction Support and Prevention Center', 'Reading Guide', 'Riding Instructors', 'Coach Education', 'Creative Talent Management', 'Self-Directed Learning', 'Psychological Healing', 'Educational Training', 'Language and Literature Teacher', 'National Drone Certification Program']",Education,"Learning, Tutoring & Courses",All Other Miscellaneous Schools and Instruction,"['Educational Training', 'Training Services', 'Psychological Healing Services', 'Addiction Support and Prevention Services', 'Health Promotion Services']",Educational Training,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:23:14.865899,2,"The company's core business is delivering structured learning programs via distance education. Its name ('Learning Institute'), description ('distance learning system', 'courses in education and training'), and dominant tags (e.g., 'Educational Training', 'Self-Directed Learning', 'National Drone Certification Program') overwhelmingly indicate education and training. While it offers specialized courses in areas like dementia prevention and psychological healing, these are delivered as educationa",positive
6149,"Validus is an online educational trading academy and trading platform that offers financial market training and investment returns to its members. The academy provides online courses for both beginners and experts in the world of trading, with the aim of helping members take control of their investments and achieve financial success. Validus allows members to earn between 2.5% and 3% per week on the investments they wish to make. The company's mission is to offer individuals worldwide the opportunity to participate in the economy by providing trading-based pay-per-trade courses that help individuals make better business decisions and achieve success in their careers. ValidUS has clients from all continents and its staff communicates in multiple languages.","['Trading-based Payroll Courses', 'Educational Webinars', 'Investment Control and Fulfillment Assistance', 'Online Financial Learning Academy', 'Online Training School', 'Educational Videos for Forex Trading', 'Trading Platform for Investment Returns']",Services,Investment Consultants & Financial Advisors,Other Insurance Funds,"['Training Services', 'Financial Services', 'Consulting Services']",Training Services,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:23:55.720128,2,"Validus primarily operates as an educational academy offering financial market training through courses, webinars, and videos. While it provides a trading platform for investment returns, its core value proposition is education. Payment likely comes from course fees and platform access rather than direct financial advising or insurance services.",positive
5938,"The Catholic Family Education Center ""Haus der Familie"" Merzig e.V. is a basic education center located in the district of Merzig-Wadern, Germany. They offer courses and seminars for parents, children, and young people, as well as day care for children and project days at schools. The center also provides training and qualification programs, including Kindergarten and school programs, online seminars and workshops, and courses for migrants. The organization is led by Norbert Zimmer as the 1st Chairman and Elisabeth Hessedenz as the Deputy Chairperson.","['Team Building Activities', 'DIN EN ISO Certification', 'Childrens Birthday Parties', 'Project Days in Schools', 'Courches for Migrant Women', 'First Orientation for The Homeless', 'Corporate Outings', 'Basic Education Center', 'Mother School', 'Intranet Services', 'Family Support Services', 'Courses & Events', 'Childcare Services']",Education,Religious Schools,Elementary and Secondary Schools,"['Courses & Events', 'Childcare Services', 'Family Support Services', 'Training Services', 'Community Engagement Services']",Courses & Events,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:24:55.155151,2,"The company's core identity is a basic education center offering courses/seminars for parents and children. While childcare and family support are critical components, the primary revenue model and main activity revolve around organizing and delivering educational courses and events (e.g., Mother School, migrant women courses, project days). Tags like 'Corporate Training' or 'Consulting' are secondary to their educational mission.",positive
8636,"Waihi Academy is a company that offers a range of services including school camps, training and conferences, and retreats. They provide spacious classrooms, meeting rooms, and accommodation with well-equipped facilities for seminars, workshops, and exhibitions. The company aims to promote peace and harmony in the local community through their educational resources.","['Educational Institution', 'Spacious Classrooms', 'Accommodation Services', 'Charter School', 'Conference and Training Services', 'Retreat Services', 'Meeting Rooms', 'Educational Camps', 'Event Venue Rental Services', 'Seminar and Exhibition Solutions', 'Well-equipped Facilities', 'Wheelchair Accessible Classrooms', 'Catering Events']",Education,Language & Speaking Schools,Language Schools,"['Event Planning Services', 'Training Services', 'Catering Services']",Event Planning Services,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:25:33.293964,2,"Waihi Academy's core business revolves around hosting organized events (camps, conferences, retreats) using their facilities. They generate revenue through venue rental and bundled services. While education is the sector, their specific value proposition is providing event infrastructure and coordination. Catering and training support these events but aren't standalone primary offerings.",positive
3252,"Studio Politesse is a company that offers courses and workshops focused on teaching individuals and businesses the importance of politeness, courtesy, and good manners. Their courses cover various topics such as the art and importance of a good first impression, how to show integrity, and mastering table etiquette to manage business dinners. The founder, Delphine Bucsan, has extensive experience in etiquette and rules, having studied at butler schools and with labeling specialists. The company's workshops are designed to update social skills and cater to specific groups with their own learning goals. Studio POLIT ES believes that mastering the rules of conduct will allow individuals to easily enter different circles and feel secure in any situation.","['Corporate Workshops', 'Hospitality Etiquette Coaching', 'Courses and Workshops', 'Coaching and Development for Hospitality Industry', 'Hospitality Training', 'Educational Services']",Education,"Learning, Tutoring & Courses",Professional and Management Development Training,"['Professional and Management Development Training', 'Corporate Training Services', 'Hospitality Etiquette Coaching', 'Educational Services', 'Courses and Workshops']",Professional and Management Development Training,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:27:02.109414,2,"Studio Politesse's core business is providing training in politeness and etiquette, primarily through courses and workshops for professional development, as indicated by their niche, tags, and description. They get paid for delivering educational services to individuals and businesses, with a focus on corporate and hospitality sectors, making these labels the most accurate representation of their main activities.",positive
2832,"Agile Training is a certification training platform that offers a variety of training courses to help individuals develop their skills and boost their careers. They provide a range of courses, including smartphone repair, medical secretary, and sports coaching, among others. The platform offers a Personal Training Account (CPF) that allows individuals to contribute annually for training rights in the field of their choice. Depending on their CPF balance, individuals have the option of financing up to 100% of their training. Agile Training's educational advisors provide free assistance in all administrative procedures and help individuals find the certification training that suits their needs. The courses are 100% e-learning and accessible continuously, with personalized support and a unique learning experience.","['Sports Coaching and Training Sessions', 'Courses In English', 'E-Learning', 'Barbering Education and Training', 'Platform Certification Training', 'Medical Secretary Training', 'Makeup Artist Training', 'Angular Prosthetic Training', 'Freelaborate Administrative Assistance']",Education,Language & Speaking Schools,Apprenticeship Training,"['Training Services', 'E-Learning']",Training Services,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:27:46.827410,2,"Agile Training's core business is delivering professional training/certification courses across diverse fields (barbering, medical secretary, makeup, etc.). Their value proposition centers on skill development through structured training programs. Payment is primarily for course enrollment/access. While delivered online ('E-Learning'), the fundamental service is training.",positive
7799,"Light Brigade Training is a company that specializes in providing comprehensive training and product solutions for professionals in the fiber optic industry. They have been in operation since 1987 and have trained over 85,000 technicians, installers, engineers, designers, and support staff from various industries worldwide. Light Brigade offers state-of-the-art, instructor-led, certified fiber optic training courses and hands-on skills training for all skill levels, from novice to seasoned professional. Their courses cover fiber optic installation, testing, troubleshooting, engineering, and design, ranging from basic introduction to small enterprise networks to large FTTH deployments and harsh industrial environments. Light brigade has partnered with leading industry bodies to provide certification for training courses, including Fiber Broadband Association, ETA International, Utilities Technology Council, and continuing education credits through Bicsi. In August 2020, Light Brigade was acquired by Hexatronic Group AB, a Swedish-based public technology company that provides fiber optic products and training services.","['Interactive Learning', 'Certified Fiber Characterization Engineer', 'Remote Classroom Training', 'Splicing Deep Dive Workshop', 'Training Courses for Fiber Opticians', 'Staff Videos', 'Specialization in Wireless Backbone', 'Certified Optical Network Engineer', 'Specialized Applications Courples for Utilities', 'Specialty Applications Courses for Fttx', 'Emergency Restoration Workshop', 'Instructor-led Training Courses in Fiber Optics', 'Design Courses', 'Customizable Training Courches', 'Integrated Broadband Academy', 'Air Blown Fiber Workshop', 'In-person Training', 'Training Videos', 'Training Courmes', 'Certified FTTH Professional']",Education,"Learning, Tutoring & Courses",Apprenticeship Training,"['Fiber Optic Training Services', 'Technical Training Services', 'Certification Training Services', 'Instructor-led Training Services', 'Workshop Facilitation Services', 'Apprenticeship Training Services', 'Industry-specific Training Services']",Fiber Optic Training Services,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:30:00.079296,2,"Light Brigade Training's core business is delivering specialized technical education in fiber optics, evidenced by their industry-specific certifications, workshops, and instructor-led courses. They primarily generate revenue through structured training programs (e.g., Certified Fiber Characterization Engineer, Splicing Workshops) and certifications tailored to fiber optic professionals. While they offer multiple formats (remote, in-person, workshops), the niche focus on fiber optics dominates t",positive
9032,"Countingwell is an interactive Maths app that offers a personalized learning path for students in grades 6-8. The app breaks down Maths concepts into short, simple modules that can be learned with minimal screen time. Countingwell provides free online Maths classes, Ncert solutions for Class 8 Maths, and Ncert Solutions for Class 5 Maths. The company offers courses such as Foundation of Financial Literacy, Foundation of Data Science, and Vedic Maths Program, as well as a blog for educators. Countingswell's AI-Driven algorithm is designed to enhance the learning experience of every child, identifying the most appropriate skill level and missing prerequisites needed to learn the topic effectively. The AI devises a personalized Learning Plan that helps students get the most out of their 20-minute daily workouts with minimal computer screen time, making it a perfect blended learning solution for schools aligned with National Education Policy (NEP) 2020.","['Personalized Learning Paths', 'Educational Technology', 'Growth Mindset', 'Formative Assessments', 'Problem-solving Attitude', 'Al-driven Algorithm for Maths Learning', 'Online Mathematics Courses', 'Interactive Maths App', 'Blended Learning', 'Financial Literacy', 'Personalized Ai-based Maths Workout Plan', 'Data Science Foundations: Fundamentals', 'Child-centric Approach']",Education,"Learning, Tutoring & Courses",Exam Preparation and Tutoring,['Training Services'],Training Services,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:30:48.448853,2,"Countingwell's core business is delivering structured educational content through an app for skill development (math proficiency). They generate revenue via subscriptions/access fees for their training modules, aligning perfectly with 'Training Services' as the primary label. Other labels involve auxiliary activities not central to their value proposition.",positive
7783,"Guangdong Adult Education Network is a Chinese company that provides online education and career training services for adults in Guangdong. The company offers a variety of courses, including adult education, adult high school, adult study abroad, distance education, and vocational qualifications. They also provide guidance and support for students who are interested in pursuing higher education in the field of higher education. The network offers a range of resources, including study materials, research information, and test preparation materials, to help students prepare for their studies and exams. Additionally, the company provides guidance on career planning and preparation, as well as remote learning options.","['High School Diploma Preparation', 'Exam Preparation Materials', 'Admission Details', 'Test Preparation Resources', 'Academic Guidance', '24/7 Online Hotline', 'Distance Learning Opportunities', 'Admissions Guidance', 'Study Guides']",Education,Colleges & Universities,Junior Colleges,['Training Services'],Training Services,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:31:30.396554,2,"The company's core business is providing structured educational programs (High School Diploma Preparation, Exam Preparation, Study Guides) and academic support services (Admissions Guidance, Academic Guidance) to adult learners. This directly aligns with 'Training Services,' which encompasses delivering instructional content and skill development. Other labels represent ancillary business functions not supported by the description.",positive
8869,"English in the Loop is a blog that provides free online resources for ESL teachers, with a focus on Italian language learning. The blog offers news, movies, audio and e-books, webinars, idioms, and other free resources to keep English teachers updated. It also features a weekly worksheet for using contemporary English music hits in the classroom. The company offers free webinarars and workshops, including the Macmillan Education Online Conference, Cambridge Days, and free courses for ESL teaching in Bari, Napoli, and Catania.","['Online Resource Provider', 'English Literature and Civilization', 'Online Workshops with Native English Teachers', 'Software Solutions for E-books and E-audiobooks', 'Educational Resources', 'Webinars and Workshops', 'Worksheets for Contemporary English Music Use', 'Educational Services', 'English Language Learning Resources', 'Educational Resources for ESL Teachers']",Education,Language & Speaking Schools,Language Schools,"['Educational Services', 'Training Services']",Educational Services,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:32:09.366390,2,"The company's core business is providing educational resources (webinars, worksheets, e-books) specifically for ESL teachers. While they offer workshops (aligning with Training Services), their primary value proposition centers on language education support. Other labels like software development or consulting are delivery mechanisms or tangential activities, not the main business.",positive
1840,"Ningbo U-ways Smarttech Co., Ltd is a laboratory instrument research and development, production, sales, and service company located in Ningbo City, Zhejiang Province, China. The company is committed to providing customers with a complete set of instrument consumables for sample pretreatment-purification-analysis, and customizable one-stop solutions. They offer a range of products including ultrasonic homogenizers, dry constant temperature incubators, constant temperature metal baths, constant-temperature mixers, centrifuges, nitrogen evaporators, sterile homogenizer, high-pressure sterilizers, viscometers, UV crosslinkers, and high and low temperature constant temperature bath series. The products are designed to make experiments easier and more sophisticated, with a focus on product quality and attention to detail. The technical support and service department provides technical consultation and maintenance during the warranty period.","['UV Crosslinkers', 'Complete Product Packaging and Instructions', 'Sterile Homogenizers', 'Nitrogen Blowers', 'Technical Consultation and Maintenance', 'Centrifuges', 'Constant Temperature Mixers', 'Laboratory Instruments', 'Vortex', 'Customized Instrument Panel Design Services', 'Ultrasonic Cell Disruptors', 'Dry Constant Temperature Incubators', 'Ultrasonic Processors', 'Technical Support Department', 'High-pressure Sterilizers', 'Constant Temperature Baths']",Manufacturing,Laboratory Equipment & Supplies,Analytical Laboratory Instrument Manufacturing,"['Laboratory Equipment & Supplies', 'Technical Support Department', 'Customized Instrument Panel Design Services', 'Technical Consultation and Maintenance']",Laboratory Equipment & Supplies,HIGH,deepseek_priority_100,hierarchical_deepseek,2025-06-20T18:35:10.327172,2,"The company's core business is manufacturing and selling laboratory instruments (UV Crosslinkers, Centrifuges, Homogenizers, etc.), as stated in its description and business tags. While it offers supporting services like technical consultation and customized design, these are ancillary to its primary revenue stream from instrument sales. The industry context explicitly identifies it as 'Analytical Laboratory Instrument Manufacturing.'",positive
